id,question,A,B,C,Answerkey
51,What's wrong? You look sad.,My tooth hurts.,I like cake.,"Yes, I am.",A
52,Does he have a toothache?,"No, he doesn't.",He has a book.,It is Tuesday.,A
53,What would you like for breakfast?,I'd like some bread.,It's 7:00 AM.,I'm Terry.,A
54,Whose lunchbox is this?,It's Rita's lunchbox.,I'm hungry.,It is lunch time.,A
55,Would you like some noodles?,"Yes, please.","No, I'm not.",I like pizza.,A
56,What's wrong with your hands?,My hands hurt.,I have two hands.,They are clean.,A
57,Do you have a cold?,"Yes, I do.",It's cold today.,I'm fine.,A
58,Whose shoes are these?,They're my shoes.,I like your shoes.,It is a shoe.,A
59,How many monkeys are there?,There are eight.,I like monkeys.,It's a monkey.,A
60,What would you like for dinner?,I'd like some chicken.,I'm at home.,Good evening.,A
61,Does she have a runny nose?,"No, she doesn't.",She is running.,The nose is red.,A
62,Is this your water bottle?,"Yes, it is.",I'm thirsty.,It's blue.,A
63,What's wrong with him?,His head hurts.,He is my brother.,I am a boy.,A
64,Would you like some salad?,"No, thank you.",I like green.,It is salad.,A
65,Whose glasses are those?,They're my teacher's.,They are big.,I have glasses.,A
66,Can you give me a hand?,Sure.,I have hands.,This is my hand.,A
67,Be careful!,"OK, I will.",I am careful.,You are welcome.,A
68,Do you have a stomachache?,"No, I don't.",My stomach is big.,I like food.,A
69,What's wrong with your ears?,My ears hurt.,I have two ears.,They are small.,A
70,Whose backpack is that?,It's Eric's.,It's a backpack.,I have a bag.,A
71,What do we do on Dragon Boat Festival?,We watch the race.,We eat turkey.,We go to sleep.,A
72,Is that a sachet?,"Yes, it is.",I like eggs.,It's a boat.,A
73,Look! The dragon boat is fast.,Wow!,It is a dragon.,I am fast.,A
74,Whose workbook is this?,It's mine.,I am writing.,It's a book.,A
75,Are those your glasses?,"No, they aren't.",I like glasses.,It's a glass.,A
76,What day is today?,It's Thursday.,I'm ten.,It's a day.,A
77,Is it Sunday today?,"Yes, it is.","Yes, I am.",I like Sunday.,A
78,Do you have art class on Tuesday?,"No, I don't.",I like art.,It's a class.,A
79,Does she have music class on Friday?,"Yes, she does.",She likes music.,It's Friday.,A
80,Where are you going?,I'm going to the park.,I am happy.,It's far.,A
81,Where's the hospital?,It's on Green Street.,I'm sick.,It's a big house.,A
82,How many tigers are there?,There are two tigers.,I like tigers.,It's a tiger.,A
83,Does he like elephants?,"Yes, he does.",He is an elephant.,It's big.,A
84,What's your favorite subject?,I like science.,I'm science.,It's a book.,A
85,Are you going to the library?,"Yes, I am.","No, I'm a library.",The library is quiet.,A
86,How many horses are there?,There are seven horses.,I see a horse.,Horses are fast.,A
87,Do you like monkeys?,"No, I don't.","Yes, it is a monkey.",Monkeys are funny.,A
88,Is it Monday today?,"No, it's Wednesday.",I like Monday.,"No, I'm not.",A
89,Does he have PE class today?,"Yes, he does.",He likes PE.,It's a ball.,A
90,Where is she going?,She's going to the post office.,She is a girl.,The letter is for you.,A
91,Is the bookstore near the bank?,"No, it isn't.",I like books.,It's a bank.,A
92,How many zebras are there?,There are four zebras.,Zebras are cool.,I see a zebra.,A
93,Does she like turtles?,"Yes, she does.",She is a turtle.,Turtles are slow.,A
94,Follow me.,OK.,I am a leader.,You are first.,A
95,What's on the Christmas tree?,A star.,It's a tree.,I like Christmas.,A
96,Merry Christmas!,"Merry Christmas to you, too!",Thank you.,I'm fine.,A
97,Is that a Christmas stocking?,"Yes, it is.",It's a gift.,I have a stocking.,A
98,Who is he?,He is Santa Claus.,He is red.,I like him.,A
99,Look at the bell.,It's beautiful.,It's a bell.,I like stars.,A
100,Is it Friday today?,"Yes, it is.",I like Friday.,"No, I'm not.",A
