id,question,A,B,C,Answerkey
1,How's the weather today?,It's sunny and hot.,I'm ten years old.,"Yes, I like it.",A
2,Is it rainy outside?,"Yes, it is. Take an umbrella.","No, I'm not tired.",It's a red pen.,A
3,"Are you hungry, Arthur?","Yes, I am. I want some food.","No, it's cloudy.",I'm in the kitchen.,A
4,Is Felicia tired after school?,"Yes, she is.","No, she don't.",She is reading.,A
5,How's the weather in London?,It's cold and windy.,It's four o'clock.,He's happy.,A
6,"Are you thirsty, Terry?","No, I'm not.","Yes, I do.","I'm fine, thank you.",A
7,Is he happy today?,"Yes, he is.","No, he's a driver.",It's rainy.,A
8,What are these in the box?,They're oranges.,It's an orange.,These are orange.,A
9,"Do you like apples, Roy?","Yes, I do.","Yes, I am.","No, I'm not.",A
10,What are those on the tree?,They're bananas.,I like bananas.,That is a banana.,A
11,Do you want some juice?,"No, thank you.","Yes, I want.",I want a juice.,A
12,What do you want to eat?,I want some pizza.,I'm hungry.,"Yes, please.",A
13,Does she want some milk?,"Yes, she does.","No, she isn't.",She want milk.,A
14,What are these small things?,They're grapes.,It's a grape.,"Yes, they are.",A
15,Do you want some rice?,"Yes, please. I'm hungry.","No, I'm not thirsty.",I like rice.,A
16,What are those red fruits?,They're watermelons.,It's a watermelon.,I want a watermelon.,A
17,What time is it now?,It's five twenty-five.,It's five twenty-five o'clock.,I'm five years old.,A
18,Is it seven thirty?,"Yes, it is. Let's go!","No, it's a clock.",I'm late.,A
19,"What time is it, Rita?",It's twelve fifty-five.,It's twelve fifty-fives.,It's twelve five-five.,A
20,What time is the class?,It's at nine o'clock.,It's sunny.,I'm writing.,A
21,Is it four forty?,"No, it's four fourteen.","Yes, I am.",It's a desk.,A
22,"What are you doing, Lian?",I'm writing my name.,I write my name.,I'm write my name.,A
23,What's Roy doing in the yard?,He's running.,He's runing.,He is run.,A
24,What's Felicia doing now?,She's reading a book.,She reads a book.,She's read a book.,A
25,Are you drinking water?,"Yes, I am.","Yes, I do.","No, I don't.",A
26,Is Eric swimming in the pool?,"No, he isn't.","No, he doesn't.","Yes, he swimming.",A
27,What are they doing?,They're eating hamburgers.,They eat hamburgers.,They're eat hamburgers.,A
28,What is the cat doing?,It's sleeping on the sofa.,It's sleep.,It sleeps.,A
29,Are you studying English?,"Yes, we are.","Yes, we do.","No, we aren't study.",A
30,Is she drawing a picture?,"Yes, she is.","No, she doesn't.",She drawing.,A
31,"Where are you, Terry?",I'm in the bedroom.,I'm on the bedroom.,I'm at bedroom.,A
32,Where is your grandma?,She's in the dining room.,She's in dining room.,It's in the dining room.,A
33,Where is Teddy?,He's in the living room.,He's under living room.,She's in the living room.,A
34,Where's my blue pen?,It's on the box.,They're on the box.,It's in box.,A
35,Where is the ruler?,It's under the desk.,It's under desk.,They're under the desk.,A
36,Where is the ball?,It's by the chair.,It's by chair.,It by the chair.,A
37,Are you in the kitchen?,"No, I'm in the yard.","No, I'm not hungry.","Yes, I do.",A
38,Where are the books?,They're in the bag.,It's in the bag.,They're on bag.,A
39,Is the cat under the table?,"Yes, it is.","Yes, he is.","No, it doesn't.",A
40,Where is your teacher?,She's in the classroom.,It's in the classroom.,She's on the classroom.,A
41,Do you want some moon cakes?,"Yes, please. They're good.","Yes, I am.","No, I'm not.",A
42,What are those in the sky?,They're birds.,It's a bird.,I like birds.,A
43,Is it hot in the yard?,"Yes, it is.","No, I'm not.",It's a yard.,A
44,What time is dinner?,It's at six thirty.,It's sunny.,I'm hungry.,A
45,Where is your bag?,It's under the chair.,They're under the chair.,It's under chair.,A
46,What is Arthur doing?,He's drinking milk.,He drinks milk.,He's drink milk.,A
47,"Are you tired, Rita?","No, I'm not. I'm happy.","Yes, I do.","No, it isn't.",A
48,What are these on my desk?,They're your pencils.,It's your pencil.,They're pencil.,A
49,Do you like watermelons?,"No, I don't. I like apples.","No, I'm not.","Yes, I am.",A
50,Is she reading in the bedroom?,"Yes, she is.","No, she doesn't.",She reading.,A
